,Rage
4823,0
4824,0
4825,0
4826,0
4829,0
4842,0
4844,0
4850,0
5389,0
4882,0
4883,0
4884,0
4887,0
4888,0
4892,0
4893,0
4894,0
4895,0
4899,0
4900,0
4901,1
4902,1
4903,0
4904,1
4905,1
4906,0
4908,1
4910,1
4916,0
4946,1
4947,0
4974,0
5051,1
5209,1
5212,0
5648,0
5656,1
5746,0
5831,0
4982,0
4983,1
4984,0
4985,0
5003,1
5005,0
5029,1
5031,1
5041,1
5649,1
5084,0
5116,1
5118,1
5119,1
5120,1
5121,1
5122,1
5124,1
5126,1
5387,1
5146,1
5147,1
5169,1
5170,0
5171,1
5173,1
5174,1
5177,1
5181,0
5205,1
5226,1
5227,1
5231,1
5234,0
5235,1
5248,1
5254,0
5255,1
5298,0
5300,0
5302,1
5303,1
5304,1
5305,1
5306,0
5308,0
5315,1
5316,1
5317,1
5318,0
5417,1
5418,1
5422,1
5423,1
5429,1
5441,1
5444,1
5445,0
5447,1
5448,1
5471,0
5486,1
5488,1
5489,0
5490,1
5491,1
5526,1
5527,1
5529,1
6225,1
5589,1
5591,1
5598,1
5634,1
5647,1
5835,0
5836,1
5837,1
6402,1
6403,1
5690,1
5691,1
5692,1
5693,1
5694,1
5695,0
5696,1
5728,1
5731,1
5743,1
5753,1
5754,1
5755,0
5756,1
5757,1
5758,1
5759,0
5797,1
5799,1
5806,1
5872,1
5892,1
5898,1
5899,1
5900,1
5901,0
5904,1
5908,1
5918,1
5944,1
5966,0
5967,1
5968,1
5969,1
5971,1
5977,1
5981,1
6012,1
6015,0
6017,1
6047,1
6068,1
6103,1
6105,1
6106,1
6107,1
6113,0
6121,1
6122,1
6123,1
6148,1
6149,1
6150,1
6151,1
6152,0
6155,1
6159,1
6205,1
6207,1
6217,0
6230,1
6245,1
6246,0
6247,0
6248,1
6251,1
6273,0
6280,1
6285,1
6295,0
6337,1
6341,1
6342,1
6343,0
6344,1
6372,1
6382,1
6389,1
6393,1
6394,1
6487,1
6488,0
6489,1
6490,1
6491,0
6492,1
6493,0
6494,0
6495,1
6496,1
6623,0
6631,0
6632,0
6633,0
6634,0
6635,0
6636,0
6638,0
6662,0
6679,0
6697,0
6698,0
6699,0
6701,0
6702,0
6708,0
6710,0
6750,0
6751,0
6754,0
6775,0
6776,0
6777,0
6778,0
6779,0
6783,0
6823,0
6831,0
6833,0
6834,0
6858,0
6889,0
6891,0
6892,0
6900,0
6902,0
6903,0
6904,0
6926,0
6938,0
6964,0
6966,0
6967,0
6968,0
6969,0
6970,0
6975,0
6994,0
7005,0
7020,0
7076,0
7077,0
7078,0
7081,0
7082,0
7089,0
7090,0
7141,0
7142,0
7144,0
7170,0
7172,0
7173,0
7174,0
7188,0
7192,0
7205,0
7237,0
7240,0
7247,0
7283,0
7284,0
7286,0
7290,0
7291,0
7295,0
7296,0
7325,0
7328,0
7334,0
7343,0
7344,0
7346,0
7362,0
7363,0
7382,0
7383,0
7395,0
7400,0
7401,0
7468,0
7480,0
7481,0
7482,0
7483,0
7485,0
7496,0
7499,0
7515,0
7528,0
7559,0
7561,0
7562,0
7564,0
7570,0
7575,0
7577,0
7591,0
7592,0
7593,0
7623,0
7625,0
7627,0
7628,0
7633,0
7636,0
7637,0
7638,0
7639,0
7640,0
7659,0
7660,0
7661,0
7677,0
7678,0
7688,0
7693,0
7694,0
7705,0
7707,0
7754,0
7775,0
7776,0
7777,0
7778,0
7779,0
7780,0
7809,0
7810,0
7818,0
7839,0
7840,0
7841,0
7842,0
7843,0
7844,0
7846,0
7856,0
7878,0
7881,0
7918,0
7926,0
7927,0
7930,0
7931,0
7932,0
7978,0
7979,0
7982,0
8390,0
7991,0
7992,0
7993,0
7995,0
7996,0
7998,0
8045,0
8046,0
8058,0
8060,0
8071,0
8081,0
8121,0
8389,0
8392,0
8649,0
8702,0
8733,0
8734,0
8824,0
8136,1
8139,1
8142,1
8143,1
8144,1
8145,1
8146,1
8147,1
8243,0
8930,0
8148,0
8149,0
8150,0
8151,0
8152,0
8153,0
8154,0
8155,0
8160,0
8166,0
8169,1
8170,0
8171,1
8172,1
8173,1
8174,1
8177,0
8178,0
8187,1
8188,1
8195,1
8196,0
8197,1
8198,0
8199,0
8200,1
8201,1
8202,1
8203,1
8204,1
8262,1
8273,0
8274,1
8278,1
8281,1
8282,1
8287,1
8289,1
8290,1
8297,1
